ID,Name,Age,Gender,City,Country,CreditCard,FullAddress,UserSignUpDate,UserLastPurchaseDate,UserStatus,UserTotalPurchases,UserSegment,UserLocation,UserSourceType,UserLastLoginDate,UserPurchaseFrequency,ProductName,Category,Subcategory,Price,DatePurchase,Quantity,Rating,Comment,DelayBetweenLastLoginSignUp,LastLoginPurchaseDelay
135,8/7Ve9+kFKVdD2YlgrLnXA==,77,F,LAKE MATTHEWBURGH,BULGARIA,+iGdJApIzaI7j+fe9SkXR3Noq+ebBYr5cZUMgDKVgfA=,478 Richardson Oval  Tarachester  PA 48332,24-11-2021,28-04-2022,CHURNED,9,FREQUENT SHOPPER,PEREZMOUTH,ORGANIC SEARCH,20-07-2022,RARELY,JACKETWEAR,CLOTHING,JACKET,5,15-02-2022,8,1,LAST RELATE SIDE THOUSAND TECHNOLOGY MEMBER.,8,3
166,xGFBbBAQ7NHTUfzGY4dfyw==,77,F,WEST ANGELA,BULGARIA,bi0GYJ5wKM211f0IyU0pIHNoq+ebBYr5cZUMgDKVgfA=,03674 Walker Prairie Suite 658  New Nicole  GU 14772,13-03-2022,05-06-2023,ACTIVE,13,HIGH VALUE,DAVIDVILLE,ORGANIC SEARCH,14-08-2023,YEARLY,CHAIRPLUS,FURNITURE,CHAIR,201,28-11-2021,4,1,STOCK COLD APPROACH GAME UP IF.,17,2
439,vi/dkCPuvcZ+dlsog0MHSg==,77,M,EAST JENNIFER,BULGARIA,5u4OkAw7i0MUq59qJXv56XNoq+ebBYr5cZUMgDKVgfA=,6077 Rachel Oval Suite 720  Johnstad  MD 07994,23-10-2022,31-07-2023,ACTIVE,1,OCCASIONAL SHOPPER,WRIGHTMOUTH,REFERRAL,04-08-2023,MONTHLY,SHIRTFITS,CLOTHING,SHIRT,52,03-03-2023,4,6,BEHIND FAMILY ONCE DIFFERENT GIVE FIGURE.,10,1
592,m6Es0M8ymZ4zkwkMKyqfNg==,77,F,LAKE PATRICKBOROUGH,BULGARIA,aVLLK8xkDTyFW1VzpN2rq3Noq+ebBYr5cZUMgDKVgfA=,902 Crystal Cliff  Youngview  KS 11358,25-03-2022,29-06-2023,ACTIVE,13,HIGH VALUE,SNYDERPORT,ORGANIC SEARCH,01-07-2023,YEARLY,PANTSWEAR,CLOTHING,PANTS,27,19-05-2021,10,2,REPUBLICAN GET AMOUNT BOOK FACT.,16,1
646,Xj2AmLg2PFLLhP+3gsXgoQOVhGkHiVUQ2+VAHQ064nQ=,77,M,WEST JACOB,BULGARIA,YDEO61zQde9XVP2L7+1r/3Noq+ebBYr5cZUMgDKVgfA=,7982 Jennifer Forest  Warrenmouth  MP 26319,30-12-2022,18-02-2023,CHURNED,9,FREQUENT SHOPPER,SOUTH NICHOLASBURY,ORGANIC SEARCH,07-04-2023,YEARLY,TABLEDELUXE,FURNITURE,TABLE,597,10-11-2021,4,1,I ENTIRE CANDIDATE PRESIDENT POPULAR.,4,2
135,8/7Ve9+kFKVdD2YlgrLnXA==,77,F,LAKE MATTHEWBURGH,BULGARIA,+iGdJApIzaI7j+fe9SkXR3Noq+ebBYr5cZUMgDKVgfA=,478 Richardson Oval  Tarachester  PA 48332,24-11-2021,28-04-2022,CHURNED,9,FREQUENT SHOPPER,PEREZMOUTH,ORGANIC SEARCH,20-07-2022,RARELY,JACKETWEAR,CLOTHING,JACKET,5,15-02-2022,8,1,LAST RELATE SIDE THOUSAND TECHNOLOGY MEMBER.,8,3
166,xGFBbBAQ7NHTUfzGY4dfyw==,77,F,WEST ANGELA,BULGARIA,bi0GYJ5wKM211f0IyU0pIHNoq+ebBYr5cZUMgDKVgfA=,03674 Walker Prairie Suite 658  New Nicole  GU 14772,13-03-2022,05-06-2023,ACTIVE,13,HIGH VALUE,DAVIDVILLE,ORGANIC SEARCH,14-08-2023,YEARLY,CHAIRPLUS,FURNITURE,CHAIR,201,28-11-2021,4,1,STOCK COLD APPROACH GAME UP IF.,17,2
439,vi/dkCPuvcZ+dlsog0MHSg==,77,M,EAST JENNIFER,BULGARIA,5u4OkAw7i0MUq59qJXv56XNoq+ebBYr5cZUMgDKVgfA=,6077 Rachel Oval Suite 720  Johnstad  MD 07994,23-10-2022,31-07-2023,ACTIVE,1,OCCASIONAL SHOPPER,WRIGHTMOUTH,REFERRAL,04-08-2023,MONTHLY,SHIRTFITS,CLOTHING,SHIRT,52,03-03-2023,4,6,BEHIND FAMILY ONCE DIFFERENT GIVE FIGURE.,10,1
592,m6Es0M8ymZ4zkwkMKyqfNg==,77,F,LAKE PATRICKBOROUGH,BULGARIA,aVLLK8xkDTyFW1VzpN2rq3Noq+ebBYr5cZUMgDKVgfA=,902 Crystal Cliff  Youngview  KS 11358,25-03-2022,29-06-2023,ACTIVE,13,HIGH VALUE,SNYDERPORT,ORGANIC SEARCH,01-07-2023,YEARLY,PANTSWEAR,CLOTHING,PANTS,27,19-05-2021,10,2,REPUBLICAN GET AMOUNT BOOK FACT.,16,1
646,Xj2AmLg2PFLLhP+3gsXgoQOVhGkHiVUQ2+VAHQ064nQ=,77,M,WEST JACOB,BULGARIA,YDEO61zQde9XVP2L7+1r/3Noq+ebBYr5cZUMgDKVgfA=,7982 Jennifer Forest  Warrenmouth  MP 26319,30-12-2022,18-02-2023,CHURNED,9,FREQUENT SHOPPER,SOUTH NICHOLASBURY,ORGANIC SEARCH,07-04-2023,YEARLY,TABLEDELUXE,FURNITURE,TABLE,597,10-11-2021,4,1,I ENTIRE CANDIDATE PRESIDENT POPULAR.,4,2
3,uy752WpEGR0Efv7hBbMEob2e4y0gDtwVlTd52eaJTAs=,64,M,JENSENFURT,BRUNEI DARUSSALAM,iuwv/dVfeqAOqqnDcSX90HNoq+ebBYr5cZUMgDKVgfA=,735 Jones Mews  New Ginafurt  AR 99785,10-03-2022,24-01-2023,CHURNED,9,FREQUENT SHOPPER,SOUTH WILLIAM,REFERRAL,25-04-2023,YEARLY,COMFORTCHAIR,FURNITURE,CHAIR,770,26-06-2023,4,4,POPULAR OUTSIDE INDUSTRY LISTEN.,13,3
73,/+WRLDNZI2vnumRFb7GJuw==,89,M,EAST JENNIFERSHIRE,BRUNEI DARUSSALAM,pGxs5oI9UjJzIMf4csuG0HNoq+ebBYr5cZUMgDKVgfA=,929 Pearson Point Apt. 757  South Hannahview  AK 90299,04-03-2022,20-05-2022,CHURNED,9,FREQUENT SHOPPER,NORTH STEPHANIE,REFERRAL,26-05-2023,RARELY,PANTSWEAR,CLOTHING,PANTS,556,07-12-2021,8,3,ACT COLLECTION PERFORMANCE WORKER.,14,12
128,N7qbS2rYRgZhNnd6N8yIsw==,65,M,CHASEBOROUGH,BRUNEI DARUSSALAM,H769OttHUXygudfbrCVXVXNoq+ebBYr5cZUMgDKVgfA=,3140 Nathan Circle Apt. 160  Lake Rebecca  MA 46135,01-01-2023,18-07-2023,ACTIVE,8,FREQUENT SHOPPER,CARTERBURY,PAID ADS,21-08-2023,YEARLY,SOFADELUXE,FURNITURE,SOFA,259,16-03-2023,2,1,SOUND AGAIN HOLD FIGURE THUS AGO WITHIN SEAT.,7,1
223,IGgiisSU+K8pIhRtWT/n6w==,42,F,OWENSVIEW,BRUNEI DARUSSALAM,R49hJ8bHHjW5NsTN0rSGnnNoq+ebBYr5cZUMgDKVgfA=,292 Mills Coves  South Ashleyfurt  HI 63525,26-05-2023,24-06-2023,ACTIVE,2,OCCASIONAL SHOPPER,LAKE TIMOTHYFURT,ORGANIC SEARCH,21-08-2023,YEARLY,TABLEPLUS,FURNITURE,TABLE,34,26-02-2023,1,6,BABY GROWTH EVERYONE THAN TRUE.,3,2
